belboon productnumber	belboon programid	productnumber	EAN	productname	manufacturername	brandname	currentprice	oldprice	currency	validfrom	validuntil	deeplinkurl	basketurl	imagesmallurl	imagesmallheight	imagesmallwidth	imagebigurl	imagebigheight	imagebigwidth	productcategory	belboonproductcategory	productkeywords	productdescriptionshort	productdescriptionslong	lastupdate	shipping	availability	option1	option2	option3	option4	option5
14332_116938_2819-201-54	14332	2819-201-54		Vagabond Schuhe Pumps Digi grÃÂ¼n			59.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/neuheiten/neue-damenschuhe/vagabond-schuhe-pumps-damen-woman-gruen-digi.html		http://www.sneakerworld.de/media/images/vagabond_pumps_green_2819-201-54-thmb.jpg			http://www.sneakerworld.de/media/images/vagabond_pumps_green_2819-201-54.jpg			neue Damenschuhe		Vagabond Damenschuhe Pumps Digi grÃÂ¼n geschÃÂ¤ftlich festlich exklusiv 2819-201-54 Online Shop	Klassische Vagabond Damenschuhe Pumps festlich		2009-09-22 14:26		2-3 Werktage	Vagabond Damenschuhe				
14332_116938_300954006Speed	14332	300954006Speed		PUMA Schuhe Sneakers - damen woman Speed Cat BL			119.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/puma-schuhe/speed-cat/puma-schuhe-woman-speed-cat-bl-black.html		http://www.sneakerworld.de/media/images/puma_speed_cat_bl_black_thb.jpg			http://www.sneakerworld.de/media/images/puma_speed_cat_bl_black.jpg			puma top		Puma Schuhe Sneakers - damen woman Speed Cat versandkostenfrei im Online Shop	black / puma silver		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_3015611003Speed	14332	3015611003Speed		PUMA Schuhe Sneakers - Speed Cat LUX LASER			99.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/pumaschuhe/puma-racing/puma-schuhe-man-speed-cat-lux-black.html		http://www.sneakerworld.de/media/images/puma_speed_cat_lux_laser_black_thb.jpg			http://www.sneakerworld.de/media/images/puma_speed_cat_lux_laser_black.jpg			puma speed		PUMA Schuhe Sneakers - herren man Speed Cat Lux Laser black versandkostenfrei im Online Shop	black		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_065009-002	14332	065009-002		Puma Tasche Plaid gelb			35					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/taschen/taschen-puma/puma-tasche-plaid-gelb.html		http://www.sneakerworld.de/media/images/puma-tasche-plaid-yellow-thmb.jpg			http://www.sneakerworld.de/media/images/puma-tasche-plaid-yellow.jpg			Taschen Puma		Puma Tasche Plaid gelb Online Shop	Puma Handtasche mit Schultertragegurt		2009-09-22 14:26		2-3 Werktage	Puma Schuhe				
14332_116938_2705-001-01	14332	2705-001-01		Vagabond Damenschuhe Mokassins Graziela weiss			59.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/vagabond-schuhe-stiefel/vagabond-schuhe-damen-mokassins-graziela-white.html		http://www.sneakerworld.de/media/images/vagabond-mokasinns-2705-001-01-thmb.jpg			http://www.sneakerworld.de/media/images/vagabond-mokasinns-2705-001-01.jpg			vagabond schuhe		Vagabond Damenschuhe woman Mokassins Graziela white 2705-001-01 Online Shop Echtlederinnensohle	elegante Mokassins Graziela flacher Absatz Vagabond white Echtleder		2009-09-22 14:26		2-3 Werktage	Vagabond Damenschuhe				
14332_116938_18407702	14332	18407702		Puma Sneakers Herren Sokuto MP X schwarz			99.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/pumaschuhe/puma-design/puma-sneakers-herren-sokuto-mp-x-black.html		http://www.sneakerworld.de/media/images/puma-sokuto-18407702-thmb.jpg			http://www.sneakerworld.de/media/images/puma-sokuto-18407702-2.jpg			puma design		Puma Sneakers men Sokuto MP X black Online Shop	Lifestyle-Schuh von Puma for men in black		2009-09-22 14:26		2-3 Werktage	Puma Schuhe				
14332_116938_2705-001-23	14332	2705-001-23		Vagabond Damenschuhe Mokassins Graziela braun			59.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/vagabond-schuhe-stiefel/vagabond-schuhe-damen-mokassins-graziela-cinnamon.html		http://www.sneakerworld.de/media/images/vagabond-mokasinns-2705-001-23-thmb.jpg			http://www.sneakerworld.de/media/images/vagabond-mokasinns-2705-001-23.jpg			vagabond schuhe		Vagabond Schuhe woman Mokassins Graziela cinnamon 2705-001-23 Online Shop Echtlederinnensohle	modische Mokassin von Vagabond cinnamon Echtleder		2009-09-22 14:26		2-3 Werktage	Vagabond Damenschuhe				
14332_116938_2714-001-55	14332	2714-001-55		Vagabond Damenschuhe Pumps Ofelia gelb			69.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/vagabond-schuhe-stiefel/vagabond-pumps-ofelia-damen-woman-citronella.html		http://www.sneakerworld.de/media/images/vagabond-pumps-2714-001-55-thmb.jpg			http://www.sneakerworld.de/media/images/vagabond-pumps-2714-001-55.jpg			vagabond schuhe		Vagabond Schuhe woman Pumps Ofelia citronella 2714-001-55 Online Shop Echtlederinnensohle	stylische Pumps eleganter Absatz trendig perforiet Vagabond citronella Echtleder		2009-09-22 14:26		2-3 Werktage	Vagabond Damenschuhe				
14332_116938_5-5-22419-22blk	14332	5-5-22419-22blk		S Oliver Schuhe Damen woman Pumps schwarz			39					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/s-oliver-schuhe/soliver-schuhe-damen-woman-pumps-black2.html		http://www.sneakerworld.de/media/images/soliver-pumps-5-5-22419-22-thmb-2.jpg			http://www.sneakerworld.de/media/images/soliver-pumps-5-5-22419-22-2.jpg			s oliver schuhe		s.Oliver Schuhe Damen woman Pumps black Online Shop	S Oliver Schuhe - Damen woman Pumps black		2009-09-22 14:26		2-3 Werktage	S.Oliver				
14332_116938_5-5-25411-21	14332	5-5-25411-21		S Oliver Schuhe Damen woman Stiefel weiss			69					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/s-oliver-schuhe/soliver-schuhe-damen-woman-stiefel-weiss.html		http://www.sneakerworld.de/media/images/soliver-stiefel-5-5-25411-21-thmb-2.jpg			http://www.sneakerworld.de/media/images/soliver-stiefel-5-5-25411-21-3.jpg			s oliver schuhe		S Oliver Damenstiefel woman Stiefel white Online Shop	S Oliver Schuhe Damenstiefel white matt mit flachem Absatz		2009-09-22 14:26		2-3 Werktage	S.Oliver				
14332_116938_WCDR951BK	14332	WCDR951BK		Draven KnÃÂ¶chellederschuh woman schwarz lila			64.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/draven-sneakers/draven-knoechellederschuh-woman-schwarz-lila.html		http://www.sneakerworld.de/media/images/draven-mcdr951-thmb.jpg			http://www.sneakerworld.de/media/images/draven-mcdr951.jpg			draven		Draven KnÃÂ¶chellederschuh woman schwarz lila Online Shop	Draven KnÃÂ¶chellederschuh woman schwarz lila		2009-09-22 14:26		2-3 Werktage	Draven Sneakers				
